Package,Built
acepack,3.3.3
assertthat,3.3.3
backports,3.3.3
base64enc,3.3.2
BH,3.3.3
bindr,3.3.3
bindrcpp,3.3.3
bit,3.3.2
bit64,3.3.3
blob,3.3.3
broom,3.3.3
callr,3.3.3
cellranger,3.3.3
checkmate,3.3.3
chron,3.3.3
cli,3.3.3
clipr,3.3.3
clisymbols,3.3.3
cmprsk,3.3.3
colorspace,3.3.3
cowplot,3.3.3
crayon,3.3.3
crosstalk,3.3.3
curl,3.3.3
data.table,3.3.3
DBI,3.3.3
dbplyr,3.3.3
desc,3.3.3
dichromat,3.3.2
digest,3.3.3
doParallel,3.3.3
doSNOW,3.3.3
dplyr,3.3.3
DT,3.3.3
evaluate,3.3.3
exactRankTests,3.3.3
feather,3.3.3
forcats,3.3.3
foreach,3.3.3
Formula,3.3.3
fs,3.3.3
ggalluvial,3.3.3
ggplot2,3.3.3
ggpubr,3.3.3
ggrepel,3.3.3
ggsci,3.3.3
ggsignif,3.3.3
ggthemes,3.3.3
gh,3.3.3
git2r,3.3.3
glue,3.3.3
gridExtra,3.3.3
gsubfn,3.3.3
gtable,3.3.3
haven,3.3.3
here,3.3.3
hexbin,3.3.3
highr,3.3.3
Hmisc,3.3.3
hms,3.3.3
htmlTable,3.3.3
htmltools,3.3.3
htmlwidgets,3.3.3
httpuv,3.3.3
httr,3.3.3
ini,3.3.3
iterators,3.3.3
janitor,3.3.3
jsonlite,3.3.3
kableExtra,3.3.3
km.ci,3.3.3
KMsurv,3.3.2
knitr,3.3.3
labeling,3.3.2
Lahman,3.3.3
later,3.3.3
latticeExtra,3.3.3
lazyeval,3.3.3
lubridate,3.3.3
magrittr,3.3.3
markdown,3.3.3
maxstat,3.3.3
memoise,3.3.3
mime,3.3.2
mnormt,3.3.2
modelr,3.3.3
munsell,3.3.3
mvtnorm,3.3.3
nycflights13,3.3.3
openssl,3.3.3
pdftools,3.3.3
pillar,3.3.3
pkgconfig,3.3.3
plogr,3.3.3
plotly,3.3.3
plyr,3.3.3
polynom,3.3.2
praise,3.3.3
prettyunits,3.3.3
processx,3.3.3
promises,3.3.3
proto,3.3.3
psych,3.3.3
purrr,3.3.3
R6,3.3.3
RColorBrewer,3.3.2
Rcpp,3.3.3
RDCOMClient,3.1.2
readr,3.3.3
readxl,3.3.3
rematch,3.3.3
reprex,3.3.3
reshape2,3.3.3
rlang,3.3.3
rmarkdown,3.3.3
RODBC,3.3.3
rprojroot,3.3.3
RSQLite,3.3.3
rstudioapi,3.3.3
rvest,3.3.3
scales,3.3.3
selectr,3.3.3
shiny,3.3.3
shinydashboard,3.3.3
shinyWidgets,3.3.3
snakecase,3.3.3
snow,3.3.2
sourcetools,3.3.3
sqldf,3.3.3
stringi,3.3.3
stringr,3.3.3
survminer,3.3.3
survMisc,3.3.3
testthat,3.3.3
tibble,3.3.3
tidyr,3.3.3
tidyselect,3.3.3
tidyverse,3.3.3
usethis,3.3.3
utf8,3.3.3
viridis,3.3.3
viridisLite,3.3.3
whisker,3.3.3
withr,3.3.3
xml2,3.3.3
xtable,3.3.3
yaml,3.3.3
zoo,3.3.3
translations,3.3.3
